complaint_text,category,priority
bus timings during exams were changed and students missed the paper it has been ignored for too long,Transport,Medium
there should be a group discussion room in or near the library,Library,Low
the hostel entrance light is broken and it gets dark at night,Hostel,Low
there should be a mobile app for the student portal,IT / Portal,Low
a digital display near the library entrance showing available books would help it has been ignored for too long,Library,Low
there is no clear process explained for how to appeal an exam result this needs to be fixed,Administration,Medium
the portal should let us download our timetable as a pdf kindly resolve this,IT / Portal,Low
hi a group of students physically pushed me near the parking area,Harassment,High
hi my assignment marks were given to the wrong student in the system,Academics / Faculty,High
students should be allowed to have a small personal fridge in the room it has been ignored for too long,Hostel,Low
not enough seats in the library during exam season,Library,Medium
bus arrives 40 minutes late every single day this needs to be fixed,Transport,Medium
prices went up suddenly with no notice and no explanation kindly resolve this,Cafeteria / Food,Medium
i am being stalked by a classmate and he waits outside my class every day no one has responded yet,Harassment,High
a female student was harassed by the van driver and she is scared this needs to be fixed,Transport,High
my visa documents were lost by the admin office and i may face deportation please look into this,Administration,High
hi the library emergency exit is locked from the outside which is dangerous,Library,High
a classmate records me during lectures without my knowledge or permission it has been ignored for too long,Harassment,Medium
it would help if bus cancellations were announced on the portal please help,Transport,Low
teacher should share a reading list at the start of the course kindly resolve this,Academics / Faculty,Low
it would be nice if the teacher held an extra revision session before exams please help,Academics / Faculty,Low
i ate from the cafeteria and got food poisoning i am in the medical room now i need help with this,Cafeteria / Food,High
i have a disability and was denied extra time in the exam without reason please help,Academics / Faculty,High
a teacher is giving better marks to students he likes and ignoring the rest of us please help,Harassment,Medium
hi the canteen is very unhygienic tables are never wiped between customers,Cafeteria / Food,Medium
there is no water in the hostel since yesterday and we cant even wash i need help with this,Hostel,High
hi i missed a job application because the admin office delayed my transcript for 3 weeks,Administration,High
a self checkout machine would make borrowing books much faster i need help with this,Library,Low
i cant register for finals because the system keeps showing an error no one has responded yet,IT / Portal,High
it would help if teacher gave feedback on assignments not just a grade kindly resolve this,Academics / Faculty,Low
cold food is being served as if it is freshly cooked it has been ignored for too long,Cafeteria / Food,Medium
the library notice board is very cluttered and hard to read please help,Library,Low
the bus left students stranded in the rain at night with no communication no one has responded yet,Transport,High
canteen staff are rude and dismissive when students have complaints i need help with this,Cafeteria / Food,Medium
students in the common room are very loud and disrespectful to others please look into this,Harassment,Low
there should be a reminder system for book return deadlines please look into this,Library,Low
the font on the portal is too small and hard to read,IT / Portal,Low
the forms at the admin office are outdated and confusing please help,Administration,Low
hi my visa documents were lost by the admin office and i may face deportation,Administration,High
my fee payment is confirmed but the system still shows outstanding balance please look into this,Administration,Medium
there are not enough bathrooms for the number of students in the hostel,Hostel,Medium
urgent the admin is demanding money under the table to process my documents,Administration,High
teacher gives assignments without clear instructions on what is expected this needs to be fixed,Academics / Faculty,Low
urgent the library roof is leaking badly and water is falling on books and computers,Library,High
the book search system in the library is confusing to use no one has responded yet,Library,Low
the library emergency exit is locked from the outside which is dangerous it has been ignored for too long,Library,High
my grade was changed without any reason and i never received an explanation this needs to be fixed,Academics / Faculty,High
urgent the payment portal is showing my fees as unpaid even though i paid yesterday,IT / Portal,High
urgent a group of students physically pushed me near the parking area,Harassment,High
the deadline for document submission was not announced and i missed it it has been ignored for too long,Administration,Medium
the portal keeps saying session expired even when i just logged in i need help with this,IT / Portal,Medium
the admin office should have a separate window for urgent requests kindly resolve this,Administration,Low
the bus driver doesnt announce stops so new students get confused please help,Transport,Low
the online journal access expired and we cant read research papers please help,Library,Medium
portal has been down since 3 days and i cant check my timetable,IT / Portal,Medium
the bus is in very bad condition with broken seats and windows,Transport,Medium
students in the common room are very loud and disrespectful to others please help,Harassment,Low
hi library should stay open later during exams,Library,Low
cafeteria closes 30 minutes early and students with late classes go hungry this needs to be fixed,Cafeteria / Food,Medium
hi the food in the cafeteria smells rotten and students are still being served it,Cafeteria / Food,High
hi we have had no teacher for this subject for the past 5 days,Academics / Faculty,Medium
there is no clear process explained for how to appeal an exam result kindly resolve this,Administration,Medium
a digital display near the library entrance showing available books would help kindly resolve this,Library,Low
hi a rat was seen running across the food counter in the cafeteria,Cafeteria / Food,High
hi the admin office shared my personal information with someone outside the university,Administration,High
the portal deleted my submitted assignment and now its showing not submitted i need help with this,IT / Portal,High
there is no water in the hostel since yesterday and we cant even wash it has been ignored for too long,Hostel,High
there are rats in my hostel room and they have gotten into my food,Hostel,High
the hostel canteen closes too early and night students go hungry please help,Hostel,Medium
hi the hostel guest sign in process takes too long,Hostel,Low
the university should have more awareness sessions about bullying please help,Harassment,Low
my enrollment was cancelled without any warning and i found out from a friend it has been ignored for too long,Administration,High
a teacher threatened to fail me because i asked a question he didnt like please look into this,Academics / Faculty,High
office hours should be extended at least during exam registration period please look into this,Administration,Low
the online journal access expired and we cant read research papers no one has responded yet,Library,Medium
the library catalogue online is not updated with new arrivals it has been ignored for too long,Library,Low
a small study table in each hostel room would be very helpful,Hostel,Low
hi not enough seats in the library during exam season,Library,Medium
the paint in the hostel rooms is very old and peeling this needs to be fixed,Hostel,Low
a senior student has been threatening me and i am scared to come to campus no one has responded yet,Harassment,High
the cafeteria needs better lighting it is too dim inside this needs to be fixed,Cafeteria / Food,Low
a senior student keeps pressuring me to do things i am not comfortable with,Harassment,Medium
no hot water in the hostel for the past 4 days this needs to be fixed,Hostel,Medium
the van service was reduced from 3 trips to 1 without telling anyone no one has responded yet,Transport,Medium
a student is spreading private photos of me without my permission this needs to be fixed,Harassment,High
the portal doesnt send a confirmation when i submit assignments no one has responded yet,IT / Portal,Low
hi library staff are not helpful when students ask for assistance finding books,Library,Medium
it would help if teacher gave feedback on assignments not just a grade please look into this,Academics / Faculty,Low
the book search system in the library is confusing to use i need help with this,Library,Low
there are not enough bathrooms for the number of students in the hostel it has been ignored for too long,Hostel,Medium
hi the library roof is leaking badly and water is falling on books and computers,Library,High
the portal shows wrong grades for two of my subjects,IT / Portal,Medium
the driver was clearly not well and was driving in a dangerous manner it has been ignored for too long,Transport,High
there should be a reminder system for book return deadlines this needs to be fixed,Library,Low
the trash area near the cafeteria is always messy this needs to be fixed,Cafeteria / Food,Low
it would be helpful if the canteen showed the daily menu online i need help with this,Cafeteria / Food,Low
the canteen near block b is always closed even during official hours please look into this,Cafeteria / Food,Medium
a teacher shared the exam paper with some students before the test please help,Academics / Faculty,High
hi my final result shows fail but i passed all my assessments,Academics / Faculty,High
an online appointment system would save a lot of time for students please help,Administration,Low
the washing machines in the hostel have been broken for a week please look into this,Hostel,Medium
the hostel generator doesnt turn on during load shedding i need help with this,Hostel,Medium
the deadline for document submission was not announced and i missed it no one has responded yet,Administration,Medium
hi the hostel entrance light is broken and it gets dark at night,Hostel,Low
urgent i am being stalked by a classmate and he waits outside my class every day,Harassment,High
hi bus arrives 40 minutes late every single day,Transport,Medium
i missed a job application because the admin office delayed my transcript for 3 weeks it has been ignored for too long,Administration,High
teacher does not respond to emails even after several days please help,Academics / Faculty,Medium
nutritional information should be displayed for each meal please help,Cafeteria / Food,Low
the hostel guest sign in process takes too long i need help with this,Hostel,Low
the bus is in very bad condition with broken seats and windows this needs to be fixed,Transport,Medium
the bus skips our stop sometimes without any explanation i need help with this,Transport,Medium
i was suspended wrongly and the admin office is not responding to my emails please look into this,Administration,High
an online appointment system would save a lot of time for students please look into this,Administration,Low
a rat was seen running across the food counter in the cafeteria it has been ignored for too long,Cafeteria / Food,High
cafeteria runs out of food by 1pm and many students are left with nothing no one has responded yet,Cafeteria / Food,Medium
hi the bus should have a designated seat for students with disabilities,Transport,Low
admin should clearly display how long each process takes this needs to be fixed,Administration,Low
hi i ate from the cafeteria and got food poisoning i am in the medical room now,Cafeteria / Food,High
hi lecture slides are uploaded after the class not before which is not helpful,Academics / Faculty,Medium
a teacher shared the exam paper with some students before the test please resolve,Academics / Faculty,High
the brakes of the university van made a loud noise and felt like they failed no one has responded yet,Transport,High
more storage space is needed in the hostel rooms,Hostel,Low
the admin is demanding money under the table to process my documents this needs to be fixed,Administration,High
i want to know what the university policy is if someone harasses a student kindly resolve this,Harassment,Low
there is raw sewage overflowing in the hostel bathroom area please help,Hostel,High
hi i am being blackmailed by a senior student and i dont know what to do,Harassment,High
not enough seats in the library during exam season please look into this,Library,Medium
a teacher always singles me out and humiliates me in class i need help with this,Harassment,Medium
my course enrollment shows errors but admin says they cant fix it now this needs to be fixed,Administration,Medium
the font on the portal is too small and hard to read please help,IT / Portal,Low
a teacher shared the exam paper with some students before the test,Academics / Faculty,High
library computers are very slow and keep crashing it has been ignored for too long,Library,Medium
the library has had no electricity for 2 days and all digital access is gone no one has responded yet,Library,High
the portal should have a dark mode option no one has responded yet,IT / Portal,Low
hi the warden is never available when we have a complaint,Hostel,Medium
the driver drives through red signals and students are scared to speak up,Transport,High
the portal is not opening at all and my project submission closes in 2 hours,IT / Portal,High
we are being tested on topics that were never taught in class kindly resolve this,Academics / Faculty,Medium
there should be a group discussion room in or near the library this needs to be fixed,Library,Low
the library closes 30 minutes early and students with late classes cant use it no one has responded yet,Library,Medium
the library system deleted all my saved research and thesis deadline is tomorrow this needs to be fixed,Library,High
my group members are excluding me from everything and not sharing project work,Harassment,Medium
my thesis supervisor disappeared and is not responding since 3 weeks this needs to be fixed,Academics / Faculty,High
the admin office should have a separate window for urgent requests no one has responded yet,Administration,Low
admin office is only open for 2 hours a day which is very inconvenient please help,Administration,Medium
bus timings during exams were changed and students missed the paper please look into this,Transport,Medium
the admin office staff should be trained to be more helpful to students i need help with this,Administration,Low
applied for my transcript 2 weeks ago and still havent received it it has been ignored for too long,Administration,Medium
there is no clear process explained for how to appeal an exam result no one has responded yet,Administration,Medium
the bus skips our stop sometimes without any explanation it has been ignored for too long,Transport,Medium
i submitted my assignment but the portal shows it as missing please help,IT / Portal,Medium
the fire alarm in the hostel has never worked since i moved in no one has responded yet,Hostel,High
seating in the cafeteria is not enough students have to eat standing please resolve,Cafeteria / Food,Medium
hi my thesis supervisor disappeared and is not responding since 3 weeks,Academics / Faculty,High
teacher has been absent for 2 weeks and no replacement has been arranged it has been ignored for too long,Academics / Faculty,High
my account got hacked and someone changed my password i cant login please look into this,IT / Portal,High
the cafeteria menu should have more variety please look into this,Cafeteria / Food,Low
hi my enrollment was cancelled without any warning and i found out from a friend,Administration,High
hi a teacher always singles me out and humiliates me in class,Harassment,Medium
i was suspended wrongly and the admin office is not responding to my emails this needs to be fixed,Administration,High
there should be a live tracker for the university bus,Transport,Low
the portal keeps saying session expired even when i just logged in,IT / Portal,Medium
hi the displayed bus schedule is outdated and confusing,Transport,Low
i was beaten by three students near the hostel and security did nothing this needs to be fixed,Harassment,High
the payment portal is showing my fees as unpaid even though i paid yesterday,IT / Portal,High
there should be more interaction in class instead of only lecture delivery i need help with this,Academics / Faculty,Low
the bus left students stranded in the rain at night with no communication i need help with this,Transport,High
the trash area near the cafeteria is always messy,Cafeteria / Food,Low
the canteen is very unhygienic tables are never wiped between customers this needs to be fixed,Cafeteria / Food,Medium
hi some students make inappropriate jokes in class and the teacher ignores it,Harassment,Low
some students make inappropriate jokes in class and the teacher ignores it i need help with this,Harassment,Low
hi there should be a dedicated quiet study area in the hostel,Hostel,Low
urgent a teacher threatened to fail me if i told anyone what he said to me,Harassment,High
it would be helpful if the canteen showed the daily menu online this needs to be fixed,Cafeteria / Food,Low
a digital display near the library entrance showing available books would help,Library,Low
no hot water in the hostel for the past 4 days please look into this,Hostel,Medium
hi admin office is only open for 2 hours a day which is very inconvenient,Administration,Medium
lecture slides have very small text and are hard to read no one has responded yet,Academics / Faculty,Low
the bus should have a designated seat for students with disabilities,Transport,Low
hi the bus driver doesnt announce stops so new students get confused,Transport,Low
the schedule shown at the stop does not match the actual timings this needs to be fixed,Transport,Medium
the bus skips our stop sometimes without any explanation,Transport,Medium
the bus left students stranded in the rain at night with no communication this needs to be fixed,Transport,High
the hostel generator doesnt turn on during load shedding please help,Hostel,Medium
the bus route was changed and we were not informed please look into this,Transport,Medium
my teacher failed me on purpose because i complained about him last semester,Harassment,High
the university should have more awareness sessions about bullying no one has responded yet,Harassment,Low
urgent the food being served is clearly expired the packaging dates were scratched off,Cafeteria / Food,High
applied for my transcript 2 weeks ago and still havent received it this needs to be fixed,Administration,Medium
the waiting area in the admin office has no chairs kindly resolve this,Administration,Low
students are not informed when a bus trip is cancelled that day please help,Transport,Medium
it would be helpful if the portal showed assignment deadlines on the home page no one has responded yet,IT / Portal,Low
a student was attacked in the hostel corridor and security did nothing please look into this,Hostel,High
it would help if teacher gave feedback on assignments not just a grade please help,Academics / Faculty,Low
hi portal has been down since 3 days and i cant check my timetable,IT / Portal,Medium
library computers are very slow and keep crashing no one has responded yet,Library,Medium
there should be a reminder system for book return deadlines no one has responded yet,Library,Low
there should be a student support group for people who face bullying please look into this,Harassment,Low
library wifi keeps disconnecting every few minutes please help,Library,Medium
hi the system wrongly submitted an empty file instead of my actual assignment,IT / Portal,High
the driver drives through red signals and students are scared to speak up please look into this,Transport,High
we are being tested on topics that were never taught in class i need help with this,Academics / Faculty,Medium
teacher should use more examples to explain difficult topics i need help with this,Academics / Faculty,Low
it would be helpful if the portal showed assignment deadlines on the home page,IT / Portal,Low
i submitted my assignment but the portal shows it as missing kindly resolve this,IT / Portal,Medium
the queue system at the canteen is very unorganized please look into this,Cafeteria / Food,Low
the admin office staff should be trained to be more helpful to students this needs to be fixed,Administration,Low
i was marked as expelled by mistake and i have not been to any hearing this needs to be fixed,Administration,High
the font on the portal is too small and hard to read i need help with this,IT / Portal,Low
my friend has a nut allergy and the food was mislabeled and she had a reaction please look into this,Cafeteria / Food,High
the teacher changes the quiz date without telling everyone kindly resolve this,Academics / Faculty,Medium
the bus has no working seatbelts and students are at risk it has been ignored for too long,Transport,High
hi my account got hacked and someone changed my password i cant login,IT / Portal,High
the university should have more awareness sessions about bullying this needs to be fixed,Harassment,Low
hostel room was given to two students and there is a conflict kindly resolve this,Hostel,Medium
a teacher threatened to fail me if i told anyone what he said to me no one has responded yet,Harassment,High
the bus is always too full and students are left behind at the stop,Transport,Medium
i want to know what the university policy is if someone harasses a student this needs to be fixed,Harassment,Low
the bus has no working seatbelts and students are at risk please look into this,Transport,High
there are rats in my hostel room and they have gotten into my food it has been ignored for too long,Hostel,High
it would help if teacher gave feedback on assignments not just a grade,Academics / Faculty,Low
the exam portal crashed during my online test and my answers were lost it has been ignored for too long,IT / Portal,High
hi nutritional information should be displayed for each meal,Cafeteria / Food,Low
it would be nice if the teacher held an extra revision session before exams please look into this,Academics / Faculty,Low
hi it would be nice if the canteen had a quiet section for eating alone,Cafeteria / Food,Low
hi the portal design is very confusing and hard to navigate,IT / Portal,Low
found a cockroach inside my food at the canteen please help,Cafeteria / Food,High
a senior student has been threatening me and i am scared to come to campus,Harassment,High
urgent i was suspended from class without any warning or proper reason given,Academics / Faculty,High
i need a bonafide letter urgently but the office says it will take 2 weeks please help,Administration,Medium
it would be helpful if lectures were recorded for revision this needs to be fixed,Academics / Faculty,Low
hi the bus is in very bad condition with broken seats and windows,Transport,Medium
it would be helpful if we could track the status of submitted requests online no one has responded yet,Administration,Low
someone is spreading false rumors about me in the department no one has responded yet,Harassment,Medium
hi teacher hasnt returned our assignments for over a week,Academics / Faculty,Medium
the portal keeps saying session expired even when i just logged in please look into this,IT / Portal,Medium
there are rats in my hostel room and they have gotten into my food this needs to be fixed,Hostel,High
my roommate in the hostel is constantly harassing me and the warden ignores it no one has responded yet,Harassment,Medium
i enrolled in the wrong section by mistake and cant change it,IT / Portal,Medium
the payment portal is showing my fees as unpaid even though i paid yesterday it has been ignored for too long,IT / Portal,High
there should be an anonymous way to report harassment on campus,Harassment,Low
i cant upload my assignment the file size limit is too low please help,IT / Portal,Medium
multiple students got sick after eating from the hostel canteen yesterday,Cafeteria / Food,High
the notice board at the admin block is never updated it has been ignored for too long,Administration,Low
hi an online appointment system would save a lot of time for students,Administration,Low
hostel wifi goes off every night and i cant study it has been ignored for too long,Hostel,Medium
the queue at the admin office is very disorganized please help,Administration,Low
ac in the university bus has not worked for a week it has been ignored for too long,Transport,Medium
my final result shows fail but i passed all my assessments i need help with this,Academics / Faculty,High
there was a small fire near the library electrical board and no one responded this needs to be fixed,Library,High
the portal doesnt send a confirmation when i submit assignments,IT / Portal,Low
hi the admin is demanding money under the table to process my documents,Administration,High
i was robbed inside the library and the security cameras were not on no one has responded yet,Library,High
hi the cafeteria wifi is very weak and doesnt work inside,Cafeteria / Food,Low
a student collapsed in the hostel and there was no first aid available,Hostel,High
the bus skips our stop sometimes without any explanation no one has responded yet,Transport,Medium
urgent teacher has been absent for 2 weeks and no replacement has been arranged,Academics / Faculty,High
someone is spreading false rumors about me in the department it has been ignored for too long,Harassment,Medium
the hostel common room has no working fans during summer i need help with this,Hostel,Medium
library should stay open later during exams please look into this,Library,Low
i missed a job application because the admin office delayed my transcript for 3 weeks this needs to be fixed,Administration,High
the lighting in some parts of the library is too dim please look into this,Library,Low
the hostel common room needs better furniture kindly resolve this,Hostel,Low
teacher is not available during office hours when students need help please help,Academics / Faculty,Medium
urgent a student collapsed in the hostel and there was no first aid available,Hostel,High
the portal design is very confusing and hard to navigate i need help with this,IT / Portal,Low
the washing machines in the hostel have been broken for a week it has been ignored for too long,Hostel,Medium
my visa documents were lost by the admin office and i may face deportation this needs to be fixed,Administration,High
it would help to have the cleaning schedule posted in the hostel i need help with this,Hostel,Low
a student is spreading private photos of me without my permission i need help with this,Harassment,High
there is no clear information on campus about where to go if harassed please look into this,Harassment,Low
the online journal access expired and we cant read research papers it has been ignored for too long,Library,Medium
hostel room was given to two students and there is a conflict,Hostel,Medium
hi i am being stalked by a classmate and he waits outside my class every day,Harassment,High
some students make inappropriate jokes in class and the teacher ignores it it has been ignored for too long,Harassment,Low
the teacher changes the quiz date without telling everyone no one has responded yet,Academics / Faculty,Medium
hi someone is spreading false rumors about me in the department,Harassment,Medium
urgent my final result shows fail but i passed all my assessments,Academics / Faculty,High
the canteen should offer a student discount card no one has responded yet,Cafeteria / Food,Low
the portal should let us download our timetable as a pdf please help,IT / Portal,Low
the warden is never available when we have a complaint kindly resolve this,Hostel,Medium
teacher leaves 30 minutes early and does not finish the lecture please help,Academics / Faculty,Medium
multiple students got sick after eating from the hostel canteen yesterday i need help with this,Cafeteria / Food,High
an online appointment system would save a lot of time for students,Administration,Low
the cafeteria needs more seating especially during lunch time no one has responded yet,Cafeteria / Food,Low
a small study table in each hostel room would be very helpful it has been ignored for too long,Hostel,Low
study room booking in the library is very unfair some groups book all day kindly resolve this,Library,Medium
nutritional information should be displayed for each meal no one has responded yet,Cafeteria / Food,Low
my enrollment was cancelled without any warning and i found out from a friend,Administration,High
a female student was touched inappropriately by a staff member in the corridor i need help with this,Harassment,High
the canteen should offer a student discount card i need help with this,Cafeteria / Food,Low
the university should have more awareness sessions about bullying kindly resolve this,Harassment,Low
there is raw sewage overflowing in the hostel bathroom area kindly resolve this,Hostel,High
the notice board at the admin block is never updated no one has responded yet,Administration,Low
a classmate keeps making fun of me in front of everyone and it wont stop,Harassment,Medium
i ate from the cafeteria and got food poisoning i am in the medical room now please look into this,Cafeteria / Food,High
hi the admin staff gave me wrong information about the document requirements,Administration,Medium
portal has been down since 3 days and i cant check my timetable please help,IT / Portal,Medium
notifications on the portal are not working so i keep missing announcements please help,IT / Portal,Medium
i cant register for finals because the system keeps showing an error please resolve,IT / Portal,High
same food is being served every day for the past week no one has responded yet,Cafeteria / Food,Medium
i reported bullying last week but no one has followed up with me this needs to be fixed,Harassment,Medium
the bus is always too full and students are left behind at the stop this needs to be fixed,Transport,Medium
office hour timings are not posted anywhere in the department please help,Academics / Faculty,Low
hi a student vomited after eating from the cafeteria and went to hospital,Cafeteria / Food,High
bus seats are very uncomfortable and need to be replaced,Transport,Low
hi search on the portal is not useful it never finds what i need,IT / Portal,Low
the paint in the hostel rooms is very old and peeling i need help with this,Hostel,Low
portal has been down since 3 days and i cant check my timetable no one has responded yet,IT / Portal,Medium
the library notice board is very cluttered and hard to read kindly resolve this,Library,Low
the washing machines in the hostel have been broken for a week i need help with this,Hostel,Medium
the library has had no electricity for 2 days and all digital access is gone,Library,High
the university bus driver was driving very fast and it felt dangerous,Transport,High
the queue at the admin office is very disorganized it has been ignored for too long,Administration,Low
there are not enough bathrooms for the number of students in the hostel please look into this,Hostel,Medium
the library system deleted all my saved research and thesis deadline is tomorrow it has been ignored for too long,Library,High
there should be more interaction in class instead of only lecture delivery please help,Academics / Faculty,Low
chunks of the library ceiling fell onto the study tables this morning no one has responded yet,Library,High
cafeteria runs out of food by 1pm and many students are left with nothing kindly resolve this,Cafeteria / Food,Medium
the canteen is very unhygienic tables are never wiped between customers please help,Cafeteria / Food,Medium
someone else is logged into my student account and i dont know how i need help with this,IT / Portal,High
the bus timings should be adjusted to match the late class schedules please look into this,Transport,Low
students should be allowed to have a small personal fridge in the room no one has responded yet,Hostel,Low
i was beaten by three students near the hostel and security did nothing no one has responded yet,Harassment,High
the kitchen staff are not wearing gloves and touching food with bare hands this needs to be fixed,Cafeteria / Food,High
curfew rules in the hostel are different for different students unfairly i need help with this,Hostel,Medium
i am being stalked by a classmate and he waits outside my class every day it has been ignored for too long,Harassment,High
found broken plastic in my rice from the main canteen this needs to be fixed,Cafeteria / Food,High
we have had no teacher for this subject for the past 5 days i need help with this,Academics / Faculty,Medium
the queue system at the canteen is very unorganized this needs to be fixed,Cafeteria / Food,Low
there are no vegetarian options available at the cafeteria,Cafeteria / Food,Medium
attendance on the portal doesnt match what the teacher marked this needs to be fixed,IT / Portal,Medium
admin should clearly display how long each process takes no one has responded yet,Administration,Low
my teacher failed me on purpose because i complained about him last semester i need help with this,Harassment,High
the admin office never replies to emails or picks up the phone,Administration,Medium
the food portions have gotten smaller but the prices are the same please help,Cafeteria / Food,Medium
the cafeteria menu should have more variety please help,Cafeteria / Food,Low
the ac in the library has not worked for a week its too hot to study no one has responded yet,Library,Medium
cafeteria closes 30 minutes early and students with late classes go hungry,Cafeteria / Food,Medium
it would be nice if the canteen had a quiet section for eating alone no one has responded yet,Cafeteria / Food,Low
it would be helpful if lectures were recorded for revision please help,Academics / Faculty,Low
the portal should have a dark mode option kindly resolve this,IT / Portal,Low
chunks of the library ceiling fell onto the study tables this morning please look into this,Library,High
urgent a student in my hostel is threatening me and the warden is not helping,Hostel,High
hi the portal is very slow and takes forever to load any page,IT / Portal,Medium
admin office lost my original certificates that i submitted last month i need help with this,Administration,High
there should be a suggestion box at the cafeteria for feedback no one has responded yet,Cafeteria / Food,Low
hi the canteen near block b is always closed even during official hours,Cafeteria / Food,Medium
hi our teacher is always 20 to 30 minutes late to every class,Academics / Faculty,Medium
i have a disability and was denied extra time in the exam without reason this needs to be fixed,Academics / Faculty,High
the hostel rules should be clearly posted somewhere visible i need help with this,Hostel,Low
a student was assaulted near the library entrance and security was absent kindly resolve this,Library,High
lecture slides are uploaded after the class not before which is not helpful this needs to be fixed,Academics / Faculty,Medium
the portal should let us download our timetable as a pdf this needs to be fixed,IT / Portal,Low
hi my final year project file saved on the library computer was completely wiped,Library,High
cafeteria closes 30 minutes early and students with late classes go hungry please look into this,Cafeteria / Food,Medium
i feel discriminated against by a teacher based on where i am from,Harassment,Medium
portal has been down since 3 days and i cant check my timetable i need help with this,IT / Portal,Medium
i was wrongly charged double fees and the finance office is not responding no one has responded yet,Administration,High
urgent the driver drives through red signals and students are scared to speak up,Transport,High
the lms keeps logging me out every few minutes please help,IT / Portal,Medium
there are no anti harassment posters anywhere on campus no one has responded yet,Harassment,Low
the library was locked during announced open hours and students had no access please look into this,Library,High
the harassment reporting process is too complicated and discourages students please help,Harassment,Low
the library does not have enough copies of the books on the recommended list this needs to be fixed,Library,Medium
teacher gives assignments without clear instructions on what is expected it has been ignored for too long,Academics / Faculty,Low
the hostel guest sign in process takes too long,Hostel,Low
library staff are not helpful when students ask for assistance finding books i need help with this,Library,Medium
there has been no electricity in my hostel block for 2 days i need help with this,Hostel,High
some students use offensive language in class and it makes me uncomfortable,Harassment,Low
i was accused of cheating but i didnt cheat and no investigation was done,Academics / Faculty,High
it would be helpful if the portal showed assignment deadlines on the home page kindly resolve this,IT / Portal,Low
a teacher always singles me out and humiliates me in class please help,Harassment,Medium
a teacher threatened to fail me because i asked a question he didnt like please help,Academics / Faculty,High
hi students should be allowed to have a small personal fridge in the room,Hostel,Low
the bus stop near the hostel has no shade or shelter,Transport,Low
the hostel roof is leaking heavily and my belongings are getting damaged kindly resolve this,Hostel,High
the schedule shown at the stop does not match the actual timings it has been ignored for too long,Transport,Medium
my visa documents were lost by the admin office and i may face deportation no one has responded yet,Administration,High
hi found broken plastic in my rice from the main canteen,Cafeteria / Food,High
there was a small fire near the library electrical board and no one responded please help,Library,High
the cafeteria needs more seating especially during lunch time it has been ignored for too long,Cafeteria / Food,Low
hostel wifi goes off every night and i cant study i need help with this,Hostel,Medium
teacher uses very old examples that are not relevant to current topics please help,Academics / Faculty,Low
the portal is very slow and takes forever to load any page kindly resolve this,IT / Portal,Medium
a female student was harassed by the van driver and she is scared no one has responded yet,Transport,High
hi more storage space is needed in the hostel rooms,Hostel,Low
cafeteria closes 30 minutes early and students with late classes go hungry no one has responded yet,Cafeteria / Food,Medium
there should be an anonymous way to report harassment on campus please help,Harassment,Low
we are being tested on topics that were never taught in class it has been ignored for too long,Academics / Faculty,Medium
the lights in the hostel corridor have been broken for 5 days please help,Hostel,Medium
a student vomited after eating from the cafeteria and went to hospital no one has responded yet,Cafeteria / Food,High
the warden is never available when we have a complaint no one has responded yet,Hostel,Medium
we are being tested on topics that were never taught in class please look into this,Academics / Faculty,Medium
my teacher failed me on purpose because i complained about him last semester no one has responded yet,Harassment,High
it would be helpful if the canteen showed the daily menu online it has been ignored for too long,Cafeteria / Food,Low
the hostel roof is leaking heavily and my belongings are getting damaged please help,Hostel,High
the book i need is always marked as available but i can never find it please help,Library,Medium
the lms keeps logging me out every few minutes kindly resolve this,IT / Portal,Medium
i got locked out of my account and the reset email is not coming it has been ignored for too long,IT / Portal,High
the library has had no electricity for 2 days and all digital access is gone kindly resolve this,Library,High
hi the library catalogue online is not updated with new arrivals,Library,Low
notifications on the portal are not working so i keep missing announcements i need help with this,IT / Portal,Medium
my scholarship money has not arrived for 2 months and i cant pay rent,Administration,High
the deadline for document submission was not announced and i missed it kindly resolve this,Administration,Medium
i need a bonafide letter urgently but the office says it will take 2 weeks this needs to be fixed,Administration,Medium
library staff are not helpful when students ask for assistance finding books,Library,Medium
the warden is never available when we have a complaint it has been ignored for too long,Hostel,Medium
hi the bus driver was on his phone the entire journey,Transport,High
i submitted my assignment but the portal shows it as missing this needs to be fixed,IT / Portal,Medium
teacher gives assignments without clear instructions on what is expected no one has responded yet,Academics / Faculty,Low
a teacher threatened to fail me if i told anyone what he said to me please look into this,Harassment,High
an online appointment system would save a lot of time for students this needs to be fixed,Administration,Low
students are not informed when a bus trip is cancelled that day i need help with this,Transport,Medium
library computers are very slow and keep crashing this needs to be fixed,Library,Medium
the bus driver does not wait even 1 minute if students are slightly late,Transport,Medium
the hostel common room has no working fans during summer please look into this,Hostel,Medium
the meat served today smelled bad and looked discolored no one has responded yet,Cafeteria / Food,High
there are no vegetarian options available at the cafeteria no one has responded yet,Cafeteria / Food,Medium
a classmate makes rude comments about my background every day,Harassment,Medium
the library catalogue online is not updated with new arrivals please look into this,Library,Low
the wrong exam was given to our class and our result is now in question,Academics / Faculty,High
nutritional information should be displayed for each meal,Cafeteria / Food,Low
the trash area near the cafeteria is always messy i need help with this,Cafeteria / Food,Low
there should be a group discussion room in or near the library please look into this,Library,Low
students should be allowed to have a small personal fridge in the room please help,Hostel,Low
the bus is in very bad condition with broken seats and windows please help,Transport,Medium
hi there are rats in my hostel room and they have gotten into my food,Hostel,High
